image_file,item_number,item_type,detailed_name,colors,pattern,item_style,material
MEN-Denim-id_00000353-01_7_additional.jpg,1,accessories,블랙 페도라,black,plain,casual,
MEN-Denim-id_00000353-01_7_additional.jpg,2,top,화이트 라운드넥 티셔츠,white,plain,casual,cotton
MEN-Denim-id_00000353-01_7_additional.jpg,3,outerwear,블랙 봄버 재킷,black,plain,casual,polyester
MEN-Denim-id_00000353-01_7_additional.jpg,4,bottom,다크 워싱 데님 팬츠,blue,plain,casual,denim
MEN-Denim-id_00000353-01_7_additional.jpg,5,shoes,블랙 옥스포드 슈즈,black,plain,formal,leather
MEN-Pants-id_00000114-06_1_front.jpg,1,top,화이트 반팔 셔츠,white,plain,casual,cotton
MEN-Pants-id_00000114-06_1_front.jpg,2,bottom,버건디 코듀로이 팬츠,burgundy,plain,casual,corduroy
MEN-Pants-id_00000114-06_1_front.jpg,3,shoes,화이트 스니커즈,white,plain,casual,leather
MEN-Pants-id_00000114-06_1_front.jpg,4,accessories,팔찌,black,plain,casual,
MEN-Shirts_Polos-id_00001055-03_2_side.jpg,1,top,블랙 패턴 반팔 셔츠,"black, white",geometric,casual,cotton
MEN-Shirts_Polos-id_00001055-03_2_side.jpg,2,bottom,화이트 반바지,white,plain,casual,cotton
MEN-Shirts_Polos-id_00001055-03_2_side.jpg,3,accessories,화이트 볼캡,white,plain,casual,
MEN-Shirts_Polos-id_00002461-01_2_side.jpg,1,top,화이트 도트 패턴 반팔 셔츠,"white, black",dot,casual,cotton
MEN-Shirts_Polos-id_00002461-01_2_side.jpg,2,bottom,블랙 카고 팬츠,black,plain,casual,cotton
MEN-Sweatshirts_Hoodies-id_00003853-06_7_additional.jpg,1,top,옐로우 후드 집업,yellow,plain,casual,cotton
MEN-Sweatshirts_Hoodies-id_00003853-06_7_additional.jpg,2,top,그레이 라운드넥 티셔츠,gray,plain,casual,cotton
MEN-Sweatshirts_Hoodies-id_00003853-06_7_additional.jpg,3,bottom,네이비 데님 팬츠,navy,plain,casual,denim
