review_id,product,rating,content
1,자세교정밴드,1,길거리에서 저가에 팔만한  전형적인 중국산 제품 한번착용 후 갖다버림
2,자세교정밴드,1,교정기  많이 구입해봐도  어깨 연결 안되엇고 꽉쪼아주지않은건 처음 솔직히   별하나도 아까움
3,자세교정밴드,1,리뷰보고  제품구입했는데  리뷰에속으시면 안될듯 합니다 박음질. 찍찍이 너무허술히게되어있어요 반품하기싫어서 그냥박에두었네요 다른제품으로 다시구매해야할듯합니다
4,자세교정밴드,1,고딩딸이 허리가 아프다혀서 구매해달라 해서 리뷰좋은애로 구매했는데.. 생각보다 고정 해주는게 별루인듯~ 반품 보내기 구찮아서 그냥 짱박어놓음
5,자세교정밴드,1,할인에 속아 구매하지 마세요. 일단 허리 받침 부분 및 척추 받침 부분이 튼튼하지 못합니다 그리고 허리랑 어깨 엑스 로 조일시 짱짱하지도 않고요 척추 교정및 허리 통증으로 인해 구매 생각하시는 분은 의료용 복대 구매하시는걸 추천 드립니다. 구매와 동시에 사용감 있으면 반품도 안되니 한번 착용해보고 아니면 바꿔야지라고 생각하시는 분들은 절대 구매하지 마세요~^^
6,자세교정밴드,1,내구성이 너무 안좋습니다. 등을 지탱하는 부분이 이틀만에 쉼게 부러지는군요. 구매하시는 분들은 가격대가 좀 있더라도 더 탄탄한 제품으로 구매하세요 만듦새도 조잡한 부분이 많습니다.
7,자세교정밴드,1,현대x쓰다가 찍찍이 수명이 다해서 상품평보고 샀는데 진심 불편합니다. 밴드 신축성이 전혀없어서  굉장히 불편하네요 163 60인데 m사용시 어깨부터 연결되는 끈이 짧다고 느껴져요 . 아마 밴드탄력이 없어서 인듯 ... 이미 써서 반품은 못하네요
8,자세교정밴드,1,그냥 더 좋은거 쓰세요 리뷰믿고 구매했는데 흡착도 낮고 잘뜯김  별한개도 아까움 ㅡㅡ
9,자세교정밴드,2,글에서는 어깨가 쫙 펴지는듯 해놓았지만 허리는 펴지는데 어깨는 덜펴지는 느낌이드네요
10,자세교정밴드,2,180에 83키로여서 4xl딱 맞을지 알았는데 엄청 헐거워요 그래서 벨트를 위에 끼고 쓰고 벨로크는 약해서 점점 조여쓰고 광고사진처럼 딱 고정 안되고 뒷부분이 점점 먼저 올라가서 나중에는 원래 자세처럼 되요 늘어난것 같아요 한달 못 썼습니다
11,자세교정밴드,2,약 1주일 쓰고 있습니다. 제품 사진과 실 제품상의 차이점을 인상깊에 느끼고 있습니다. 우선 바느질이 조잡합니다. 벨크로가 너무 작아서 부착이 잘 않됩니다. 약 1개월 정도 쓰면 될 것 같습니다.
12,자세교정밴드,2,산지 한달 밸크로 얼마안썻는데 금방 해지고 떨어짐 잘 안붙음
13,자세교정밴드,2,이런걸 제품이라고 판매하는건 쓰레기에 가깝다고 생각하는데 직접써보니 진짜  쓰레기에 가깝다는걸 느낍니다   쓰지마세요  판매자분들 반성하시기 바랍니다 효과도없고   더이상 할말이 없네요
14,자세교정밴드,2,요약.. 아니 문제점 사진상으로는 생각보다 길어 보여서 구매했지만 막상 착용시 짧음 제일 큰 사이즈를 샀지만 제일 작은 사이즈와 등 (세로)길이는 똑같음 단순 예로 키 150과 키 180의 티셔츠 총장이 똑같은셈 키가 크고 덩치가 클수록 점점 불편해질거라고 생각합니다.
15,자세교정밴드,2,사이즈를 확인후 구매했는데도 기재한 사이즈 보다  많이 작네요
16,자세교정밴드,2,돈낭비 입니다 처음에는 잘 사용했지만 금방 찍찍이가 떨어집니다 방구석에 박혀 있네요
17,자세교정밴드,3,맨살에 하면 살짝 아파요 옷입고 하는걸추천 어깨잡는거 오래해봐야 할것같아여~~ 근데 허리는 좀 잡아주는것같네여~~
18,자세교정밴드,3,겨드랑이 쪽이 접혀서 풀편한데 저만 그런가요? 팽팽하게 당겨야 어깨가 펴지는데 겨드랑이 부분이. 접혀서 불견합니다.
19,자세교정밴드,3,"사진과 같이 이물질과 실밥의 상태는 그렇다 하더라도, 제품에서 남자 화장품의 냄새가 많이 납니다. 제품을 착용하고 보니 옷과 손 끝에도 냄새가 진하게 베일 정도 입니다. 중고물품을 산 것도 아니고 새제품에서 날만한 냄새가 아니기 때문에, 다른 사람이 착용했었을 것 같은 느낌을 지울 수가 없습니다."
20,자세교정밴드,3,아이가 착용해보고 어깨가 펴지는 느낌이라고 합니다. 그런데 제품 몸판 부분에서 파리나 모기 잡을때 뿌리는 살충제 냄새가 너무 납니다. 받은 날부터 베란다에 걸어놨는데 며칠째  근처로 지나가기만해도 냄새가 나요. 마음 같아서는 세탁하고 싶은데 그래도 되는건지 모르겠어서 며칠 더 바람 쏘여보다 안되면 버려야할 것 같아요.
21,자세교정밴드,3,라운더숄더 및 굽은등 자세 교정에는 도움이 되는것 같습니다. 착용할때는 불편하지만 그만큼 제 자세가 많이 좋지않다는거니까요.ㅠㅠ 불편한만큼 자세에 신경쓰게되고 이가격이 이 기능이면 별 5개감이지만... 찍찍이는 3번사용하니 부착력이 너무 떨어지네요. 부착력 때문에 반품하고 싶을 정도네요ㅠㅠ
22,자세교정밴드,3,너무잘떨어져요 배에 조금만힘줘도 찍찍거려요 쥐섀끼있는줄알았어요
23,자세교정밴드,3,"소재가 진짜 너무 별로예요... 자세가 교정돼서 뼈나 근육이 아픈게 아니라 겨드랑이 부분만 쓰라려요... 꽤 두꺼운 옷을 입어도 아파요... 겨드랑이 부분에 안입는 옷 한개씩 돌돌 말아서 사용중... 다시 한번 강조합니다 자세교정으로 인해 뻐근하거나 근육, 뼈가 아픈게 아니라 겨드랑이 부분이 쓰 라 려 요 자세 잡아주는 기능은 좋아요 그래서 옷 돌돌 말아서라도 사용중입니다 자세교정에 정말 도움 될 거 같은데... 너무 아쉽네요... 겨드랑이 부분에 패드같은 게 추가된 리뉴얼 제품이 나오길 바라봅니다..."
24,자세교정밴드,3,허리목교정  차원에 구매했으나 막상 잘 쓰지않아 또 재놓네요ㅜㅜ
25,자세교정밴드,4,"몸에 잘 맞는 형태이구요 정확히 잘착용하면 어깨, 허리가 쭉 펴지는 느낌은 있어요 다만 장시간 착용시 목쪽 겨드랑이쪽 쓸리는 느낌있구요(안에 티 착용한 상태, 살에 닿지 않은 상태) 그럼에도 성능은 괜찮은거 같아요. 가성비 최고. 보통체형에 좋구요 배가 좀 나오신 편이라면 어깨 펴질정도로 텐션 주셨을때 호흡이 조금 불편하실수 있어요(배꼽위 명치부근이 허리 밴딩이구요. 어깨 펴질정도 텐션 아니면 아무런 효과를 주지 못해요) 참고하세요. 참고로 일반 티 L입으신다면 2xl주문 하셔야해요 그밑으론 작을듯"
26,자세교정밴드,4,아들이 필요하다고 해서 검색하다 구매 했습니다. 착용 했을때 답답하지 않고 척추 교정에 도움이 될 것 같습니다. 괜찮습니다.
27,자세교정밴드,4,2xl구매했다가 작아서 4xl다시구입 하였는데 반품한게 온건지 ..스카치 테이프가 붙어있네요 그래도 상품은 새상품인거 같아서 사용하려고요 어깨와 겨드랑이 사이가 불편하지만 거북목에 두통까지와서 자세로 효과가 좋으면 좋겠어요
28,자세교정밴드,4,M사이즈가 작아서 한번 더 구매했습니다 S 사이즈는 여성분 M 사이즈는 상의 100이하 입으시는분 상의 100이상이면 M 사이즈 이상 사셔야합니다 다른 제품보다 겨드랑이 압박이 덜 합니다
29,자세교정밴드,4,s사이즈 주문했는데 하단허리밴드부분은 벨크로 범위를 넘어서 착용되서 벨크로가 의미없어요ㅜㅜ 그래도 윗 부분에는 벨크로 범위 넓어서 어찌저찌 붙여서 사용해봐요
30,자세교정밴드,4,"자세가 구부정하다고 해서. 자세를 잡아주는 방법이 없나  찾다보니 이 제품이 있네요. 2주정도 사용하는데 , 구부정한 자세가 펴지는 느낌이 있네요"
31,자세교정밴드,4,제대로 착용을 한다고 해도 미묘하게 균형이 언 멎는 거 같어 확인해 보니 지지대의 길이가 한쪽이 심하게 쩗네요;;; 이미 사용한 거라 교환 벋기도 그렇고...
32,자세교정밴드,4,거북목이 심해져서 구매 했는데 자세교정은 어느정도 되는것 같은데 장시간 착용하면 허리 밴드가 가슴으로 올라가는 현상 발생. 이것만 보완하면 very good~
33,자세교정밴드,5,170 /62 m사이즈 구입했어요:) 거북목때문에 고민했었는데 이런제품이 있다니 신세계네요 처음착용시 조금 불편했는데 착용하고 생활하다보니 불편함이 금방 없어지네요
34,자세교정밴드,5,라운드 숄더 때문에 걱정이었는데 자세교정은 잘 되는 편입니다. 허리가 딱 펴져요~~~ 의식적으로 허리에 힘을 주고 있어야겠어요
35,자세교정밴드,5,착용감은 괜찮은 편입니다. 사무직이라서 계속 앉아서 업무를 봐야 해서 굽은자세로 있는 시간이 많았는데 매우 만족스럽습니다. 뱃살도 안늘어날 것 같아요 ㅋ
36,자세교정밴드,5,구매 후 바로 착용중이에요 효과 있는듯해요 찍찍이가 부드럽고 텐션감이 좋아요 두께도 적당합니다 ^^
37,자세교정밴드,5,"맨날 구부정하게 있다가 등펴고 살려고 샀습니다 너무 가볍고요 허리도 잘 받쳐주네요 첨 사용하는거라 조금 로보트같은 느낌은 있지만 조금씩 나아지겠죠 제품 질이 맘에 들어서 좋아요 착용방법이 좀 헷갈렸는데, 전화로 물어보니 친절하게 잘 응대해 주셨습니다 감사합니다"
38,자세교정밴드,5,잘 받았습니다 아들 자세가 구부정해서 m사이즈 샀는데 옷 위에 해도 편안하네요 아이들이 쓰기도 좋아요 잘 구입한 것 같아요 자세 고정도 잘 되고요
39,자세교정밴드,5,허리와 어깨 등을 확실하게 조요주는 느낌이 들어요 효과있어요
40,자세교정밴드,5,에어매쉬가 통풍이 잘 돼서 운동할 때 꿉꿉하지 않고 편안하게 운동에 집중 할 수 있습니다. 허리 피는데 확실히 도움이 됩니다. 안베기고 좋습니다.
