review_id,product,rating,title,content
1,선크림,1,건조함이 심해요.,바르면 촉촉하지 않고 건조함이 심하고 땡겨요. 지성용이에요. 바르면 피부가 심하게 건조하고 땡기고 눈가에 주름골이 심하게 생기고 최악이에요. 남편도 바른후에 주름이 심하게 잡힌다고 바르지 말라고 하구요. 피부 땡김이 아주 심해요.
2,선크림,1,,정품이 아닌듯...... 택배박스안에 케이스없이 선크림이들어있네요ㅠ
3,선크림,1,,포장이 엉망이네요~ 상품 받으면 포장 상태가 엉망이면 내용물까지 의심스러워져요~ 포장에 신경써주세요
4,선크림,1,,처음에는 좋은줄알았는데 너무 건조하고 아침에 바르고 나갈땐 모르는데 저녁되면 얼굴에서 무슨 연탄가스 냄세가 나는거 같아요 냄새가 이상하게 변해요 버렸어요
5,선크림,2,,후기보고 엄청 촉촉할줄알았는데 기대보다 뻑뻑해요 제피부가얇은편이긴하나 트러블거의없는 편이구요 이니스프리안티에이징세럼 썬 쓰다써서그런가 생각보다 뻑뻑하고 톤업도 내피부가어두워서 그런지 둥둥떠보임요 후기보면 자연스런톤업이라던데 저처럼 까만사람은 둥둥될듯요 감안하고 사용하심될듯요 일단 파데섞어서 색맞춰서 다시써보려합니다 그래도 다른썬에비해서는 괜찮은거같기도하고 모르겠슴돠
6,선크림,2,피부톤이 밝아져서 좋네요,발림성도 괜찮은편...인데 번들거림과 끈적거림이 있어요.. 내피부가 건조한편인지 시간이 조금 지나니 피부가 당기는 느낌이 있어서 잠깐 외출할때만 쓰고 일찍 나갈땐 수분감 있는 제품으로 다시 구매했어요ㅠㅠ
7,선크림,2,,향은 거의 없고 질감은 로션정도. 썬크림이라고 많이 바르면 완전 가부끼 됨. 화운데이션 기능이 더 큰 듯. 부드럽게 발리기는한데 촉촉함이 없음. 얼굴이 건조하게 느껴짐. 오래가고 마스크에 묻어나지 않아요. 트러블도 없음. 좋다는 평이 많은데 건성인 사람은 별로.
8,선크림,2,10260,할인해서 구매 톤업효과도있네요 기초잘바르고 발라야 착 붙는데 아니면 들떠요 클렌징할때 꼼꼼히해야되요
9,선크림,3,이건아닌거같아요,"저는 되직한질감을 좋아합니다 쫀쫀한느낌이구요 색도 밝지않고 바른듯안바른듯 다 완벽한듯하였지만 바르는순간 아 잘못샀구나 피부에 밀착되는 느낌과동시에 덮어놓은느낌 찝찝한느낌 머 걍 아까우니 참을수있는선에서까지는 바르자였는데 ,선크림만 바른상태입니자) 클렌징하고 폼클하고 저는 워터든일반이든 선크림도 이중세안하거든요 저는 중건정입니다 건성쪽으로더가깝구요 알게모르게 볼록볼록 몇개가~~~ 면봉으로 짜니 피지가~~~어제 제가 쓰던 기본 선크림은 괜찬았는데 요건 먼가요? 아~~~~~~~~버려야하는 갈림길에 10 월달몇일안남았으니 바람 쌀쌀할때 한번더발라보고 또 그러면. 버려야겠습니다"
10,선크림,3,생각보다 끈적임이,귀차니즘으로 인해 하나만 바르려고 샀음. 발림성도 좋고 약간의 톤업도 되는건 좋으나 다만 세안하기 전까지 끈적거리는 느낌이 계속되서 피부가 답답한 면이 있음. 볼에 머리카락이 붙기도 하고 눈이 피로해지기도 해서 다음에는 구매 안할듯.
11,선크림,3,,리뷰 잘 안쓰는데.. 이 썬크림은 너무 끈적입니다.. 이자녹스 화장품이라.. 평이할줄 알았는데.. 5회미만 사용하였어요 ㅠ 참고하시라고 올립니다 다른건 다 괜찮아요 그러나 끈적임이 제가 발라본 썬크림중 최고에요
12,선크림,3,,"최악의 선크림땜에 싼거 안사려고하다가 이자녹스라서 산건데. 깜놀. 첫사용한날 집에와서 메이컵 지우니 기미가 엄청 진하게 올라와있었어요. 타기도 했고. 고작 세시간 외출이었는데… 최악의 선크림은 바르기 힘들고,백탁이라고 생각했는데, 많이 발라도 기본역할을 못하는 경우가 최악인거같네요 ㄷ ㄷ 어떻게 자외선차단이 안될수있죠? ㅠㅠ"
13,선크림,4,,이자녹스 UV 썬 프로~~ 오래전부터 요것만 사용 합니다~ 썬크림과 비비가 동시에~ 피부 커버력도 좋아요~ 끈적이지 않고 발림성 좋아요~ 요것만 발라도 피부가 화사해져요~ 잠깐 외출시에 간단히 바르면 뽀사시~ 시간절약~좋아요~ 유통기한 2027년5월~ 최근 제품이네요~~ 추천합니다 ~~^^
14,선크림,4,이자녹스 좋아하는 브런드제품이라 구매했어요 ᆢ,브랜드도 맘에 들고 제품도 무난하고 괜찮아요 ᆢ 양도 많아서 맘에 들어요 ㅎㅎ
15,선크림,4,,땀에도 강하고 적당한 보정효과도 주고 오랫동안 사용해오는 제품입니다
16,선크림,4,,나이먹으니까 풀메이컵 하는거보다 가볍게 유브이 선프로 만 바르고 다니니까 편하고 좋아 자주 애용합니다
17,선크림,5,사계절 선크림으로 강력 추천!,"내돈내산으로 구매해 2주 정도 사용 후 후기 남깁니다. 민감성 피부라 기존에 썼던 선크림은 순한 걸로만 썼고 찐득거리거나 밀리는 건 쓸 수가 없었어요. 화장을 좀 얇게 해볼까 해서 톤업 효과도 있으면서 순한 선크림을 찾았는데 이자녹스 이 제품이 딱 보이더라구요. 반신반의 하면서 주문했는데(안 맞으면 엄마 줄 생각 - 뭐든 잘 맞는 엄마 피부 부럽ㅠ) 막상 써보니 오 괜찮네요. 전 더 얇게 바르려고 스폰지에 먹여서 바르는데 자연스럽게 톤업 되고 좋아요. 화장 밀리는 것도 없고, 컨실러와도 잘 맞아요. 이 가격에 이 정도 퀄이면 비싼 브랜드 제품 쓸 필요 없어요. 이자녹스 선프로 선크림 적극 추천드립니다! 지성 중건성, 여름엔 건성 분들도 잘 맞으실거예요. 제 후기가 도움이 되길 바랍니다"
18,선크림,5,좋아요 ~~~,《 이자녹스 유브이 선 프로 365 데일리 커버 듀오 기획 세트  》 ========================================================== ○ 구매일자 ㅡ 4월 29일 ○ 배송일자 ㅡ 4월 30일 ○ 내용량 ㅡ 70ml ○ 유효기간 ㅡ 28년 3월 16일 ========================================================== 이자녹스 유브이 선 프로 365 데일리 커버 선크림은 자외선 차단과 톤업 효과를 동시에 제공하는 선크림으로 데일리용으로 적합한 제품이라고 해요. 이번에 구매한 기획세트는 선크림이 2개 들어간 세트 상품으로 2개를 저렴한 금액으로 구매할 수 있어요. ✔️ SPF50+ / PA+++ 으로 강력한 자외선 차단 ✔️ 자연스런 톤업효과 ✔️ 땀과 물에 강한 워터프루프 ✔️ 저자극 순한 마무리감 ==========================================================
19,선크림,5,,"구매 계기 아이들과 함께하는 야외 활동이 많아지면서, 선크림은 필수더라구요 장점 SPF 50+ PA+++의 높은 자외선 차단 지수로, 강한 햇빛에서도 피부를 보호가능 자연스러운 피부 톤 보정 가벼운 베이지 톤의 제형이 피부에 자연스럽게 밀착되어, 메이크업 베이스로도 활용 가능해요~ 촉촉한 보습감 수분감 있는 제형으로 건조함 없이 피부에 촉촉하게 발리며, 편안한 사용감을 제공합니당 단점 가격대가 다소 높음 할인할때 사는걸 추천 향에 민감한 분들에게는 호불호 은은한 향이 있어 향에 민감한 분들에게는 호불호가 갈릴 수 있습니다. 개인적으로 무향을 선호하는데 저는 이정도 향은 괜찮았어요 추천 대상 및 이유 이자녹스 UV 선 프로 365 데일리 커버는 강력한 자외선 차단과 자연스러운 피부 톤 보정을 원하는 분들께 추천해요~ 특히 아이들과 함께하는 야외 활동이 많은 부모님들, 메이크업을 간편하게 하고 싶은 직장인들에게 좋을거 같아요:)"
20,선크림,5,쭉~~~이것만써요,15년? 그때부터 이자녹스 썬크림만썼어요 피부가 얇고 모세혈관 확장증 때문에 실핏줄이 다 보이고 붉은얼굴... 일명 술톤을 가지고있는 피부입니다... 40대 중반이구요 30대때부터 이자녹스만 쭉 쓰다가 단종!!! 이제품으로 리뉴얼 된거 같드라구요... 썬크림!!! 자외선 가리는 용도와 얼굴에 붉은끼를 잡아주는 베이지색... 저에게 딱입니다... 기미 주근깨... 낚시와 캠핑을 자주하다보니 그래도 이거 바르면 촉촉하고 붉은끼 잡아주고 잘쓰고있어요...
