orderid,custid,bookid,saleprice,orderdate
1,1,1,6000,2026-07-01
2,1,3,21000,2026-07-03
3,2,5,8000,2026-07-03
4,3,6,6000,2026-07-04
5,4,7,20000,2026-07-05
6,1,2,12000,2026-07-07
7,4,8,13000,2026-07-07
8,3,10,12000,2026-07-08
9,2,10,7000,2026-07-09
10,3,8,13000,2026-07-10
11,7,2,12000,2026-05-21
12,8,2,12500,2026-06-25
13,6,12,17000,2026-05-28
14,8,2,11500,2026-07-08
15,5,10,13000,2026-07-03
16,2,11,14500,2026-07-01
17,3,14,22500,2026-07-04
18,5,12,17000,2026-05-04
19,7,13,9500,2026-06-17
20,7,7,18000,2026-06-19
21,4,10,11500,2026-07-07
22,3,13,7500,2026-05-28
23,6,14,24000,2026-07-06
24,8,6,6000,2026-06-04
25,4,13,8000,2026-06-07
26,8,7,19500,2026-06-20
27,1,4,35000,2026-05-01
28,5,1,6500,2026-07-06
29,7,7,18000,2026-05-18
30,1,1,5000,2026-06-25
