sub_no,stu_no,enr_grade
101,20121542,59
101,20121599,97
101,20131001,80
101,20131025,65
101,20142021,56
101,20143054,62
101,20143641,84
101,20151062,48
101,20152088,77
101,20154510,87
102,20121599,46
102,20121642,83
102,20132543,56
102,20132567,90
102,20143054,66
102,20143524,51
102,20143553,88
102,20152088,49
102,20153075,61
102,20154559,75
103,20121642,67
103,20131001,47
103,20132003,100
103,20143565,83
103,20143602,82
103,20143641,50
103,20143669,85
103,20152088,45
103,20153075,48
103,20154504,85
103,20154533,73
103,20154540,56
104,20121542,70
104,20121561,66
104,20131001,56
104,20131025,65
104,20132523,75
104,20132577,60
104,20141007,59
104,20143553,65
104,20143602,74
104,20143641,82
104,20143669,61
104,20151062,69
104,20152088,57
104,20154504,62
104,20154510,76
104,20154559,57
105,20121542,66
105,20121619,85
105,20132543,100
105,20143054,36
105,20143524,82
105,20143553,71
105,20152088,75
105,20153075,56
105,20153088,78
105,20154504,62
105,20154533,55
105,20154559,59
106,20121522,70
106,20121599,57
106,20121642,79
106,20132003,72
106,20132511,100
106,20132543,64
106,20142021,77
106,20143602,81
106,20152088,78
106,20154540,74
107,20121522,74
107,20121542,86
107,20121619,74
107,20121642,78
107,20143641,100
107,20151062,41
107,20153088,76
107,20154510,63
107,20154533,68
108,20121599,77
108,20131001,81
108,20131025,66
108,20132523,42
108,20132577,73
108,20141007,68
108,20143553,57
108,20143565,61
108,20143602,95
108,20143641,54
108,20151062,73
108,20154533,37
109,20121542,84
109,20121561,80
109,20121642,73
109,20131025,67
109,20132003,81
109,20132511,81
109,20132523,84
109,20132567,54
109,20143054,40
109,20143553,63
109,20143602,52
109,20143669,68
110,20121561,80
110,20121619,53
110,20132003,69
110,20132511,60
110,20143054,88
110,20143524,42
110,20143669,67
110,20153088,59
110,20154533,79
110,20154540,100
110,20154559,60
