id,분야,조항,쪽,질문,본문
q1,정의,§2,13,ID와 결제상품정보가 개인정보에 해당하나요?,"## Q 1 

#### ID와 결제상품정보가 개인정보에 해당하나요? 

ID 등으로 이미 보유한 다른 정보와 쉽게 결합하여 개인을 알아볼 수 있다면 개인정보에 해당할 수 있습니다. 

- 고객 ID, 결제상품정보를 이미 보유하고 있는 다른 정보와 결합하여 특정 개인을 식별 할 수 있는 경우 고객 ID와 결제상품정보는 개인정보에 해당할 수 있습니다. 

- ※ 개인정보란 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아 볼 수 있는 정보이며, 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합 하여 알아볼 수 있는 경우도 포함됩니다(보호법 제2조 제1호)."
q2,정의,§2,14,가상자산 지갑주소가 개인정보에 해당하나요?,"#### 가상자산 지갑주소가 개인정보에 해당하나요? 

가상자산 사업자가 처리하는 가상자산 지갑주소 그 자체만으로는 개인정보에 해당하지 않을 수 있으나, 거래계좌, 이름 등 다른 정보와 쉽게 결합하여 특정 개인을 알아볼 수 있다면 개인정보에 해당할 수 있습니다. 

- 가상자산 지갑주소는 가상자산 거래자를 표시하는 수단으로, 그 주소를 사용하는 사람의 인적사항을 알 수 없고(대법원 2021.12.16. 선고 2020도9789 판결), 불가역적인 공개키 암호화 기술로 생성되고 관리되므로 그 자체만으로는 특정 개인을 식별하는 것이 어려울 수 있습니다. 

- 그러나, 당해 거래소가 이행한 실명확인 결과와 결합하거나 연계된 은행의 실명확인 입출금 계정의 명의자 정보와 결합하여 그 지갑의 주인이 누구인지 알아볼 수 있다면 가상자산 지갑주소는 다른 정보와 결합하여 특정 개인을 알아볼 수 있는 개인정보에 해당할 수 있습니다(개인정보보호위원회 결정 제2022-110-023호). 

- ※ 개인정보란 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아 볼 수 있는 정보이며, 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합 하여 알아볼 수 있는 경우도 포함됩니다(보호법 제2조 제1호)."
q3,정의,§2,15,개인의 치아 엑스레이 사진이 개인정보에 해당하나요?,"#### 개인의 치아 엑스레이 사진이 개인정보에 해당하나요? 

치아 엑스레이 사진 그 자체만으로는 개인정보에 해당하지 않을 수 있으나, 다른 정보와 쉽게 결합하여 특정 개인을 알아볼 수 있다면 개인정보에 해당할 수 있습니다. 

- 치아 엑스레이 사진만으로 정보주체를 알아볼 수 없는 경우 보호법에서 보호하는 개인 정보로 보기 어려우나, 진료기록 등 설명 데이터가 있어 이를 쉽게 결합하여 개인을 알아볼 수 있는 경우 개인정보에 해당합니다. 

- ※ 개인정보란 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아 볼 수 있는 정보이며, 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합 하여 알아볼 수 있는 경우도 포함됩니다(보호법 제2조 제1호)."
q4,정의,§2,16,교통법규 위반 차량의 범칙금 납부 여부가 개인정보에 해당하나요?,"#### 교통법규 위반 차량의 범칙금 납부 여부가 개인정보에 해당하나요? 

범칙금 납부 여부 그 자체만으로는 개인정보에 해당하지 않을 수 있으나, 교통법규 위반 차량 신고자 등이 보유한 다른 정보와 쉽게 결합하여 특정 개인을 알아볼 수 있다면 개인 정보에 해당할 수 있습니다. 

- 범칙금 납부 여부만으로는 개인을 알아볼 수 없지만 교통법규 위반 신고인은 이미 알고 있는 교통법규 위반 차량 소유자의 정보와 결합하여 특정 개인을 알아볼 수 있으 므로 범칙금 납부 여부는 개인정보에 해당할 수 있습니다(개인정보보호위원회 결정 제2017-03-15호). 

- ※ 개인정보란 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아 볼 수 있는 정보이며, 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합 하여 알아볼 수 있는 경우도 포함됩니다(보호법 제2조 제1호)."
q5,정의,§2,17,본인확인기관이 주민등록번호를 변환한 연계정보(CI)가 개인정보에 해당 하나요?,"본인확인기관이 주민등록번호를 변환한 연계정보(CI)가 개인정보에 해당 하나요? 

「정보통신망 이용촉진 및 정보보호 등에 관한 법률 ｣ 제23조의3에 따라 지정된 본인확인 기관이 주민등록번호를 변환한 연계정보(CI)는 다른 정보와 결합하여 특정인을 식별할 수 있으므로 개인정보에 해당합니다. 

- CI는 본인확인기관이 주민등록번호를 단방향 암호화한 정보로서 복원이 불가능하고 그 자체로는 특정 개인을 알아볼 수 없으나 특정 개인에 고유하게 생성 및 귀속되어 유일성을 가지며 정보통신서비스 제공자의 온·오프라인 서비스 연계를 위해 활용되므로 다른 정보와 쉽게 결합하여 특정 개인을 알아볼 수 있어 개인정보에 해당합니다(개인 정보보호위원회 결정 제2020-103-007호). 

- ※ 개인정보란 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아 볼 수 있는 정보이며, 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합 하여 알아볼 수 있는 경우도 포함됩니다(보호법 제2조 제1호)."
q6,정의,§2,18,사망자 관련 정보가 개인정보에 해당하나요?,"#### 사망자 관련 정보가 개인정보에 해당하나요? 

아니요, 원칙적으로 사망자의 정보는 개인정보에 해당하지 않습니다. 다만, 사망자 정보라 하더라도 유족과의 관계를 알 수 있는 정보인 경우에는 살아 있는 유족의 정보로서 개인 정보에 해당합니다. 

- ‘개인정보’는 살아 있는 개인에 관한 정보로서 ‘개인을 알아볼 수 있는 정보’ 및 ‘해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합하여 알아볼 수 있는 정보’를 의미하므로(보호법 제2조 제1호), 

- 사망했거나 관계 법령에 따라 사망한 것으로 보는 자에 관한 정보는 원칙적으로 개인 정보에 해당하지 않습니다. 

- 다만, 사망자에 관한 정보라 하더라도 유족과의 관계를 알 수 있는 정보인 경우에는 살아 있는 유족의 정보로서 개인정보에 해당합니다. 

- 해당 정보만으로 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합하여 알아 볼 수 있는 정보는 개인정보에 해당하므로 사망자에 관한 정보만으로는 유족과의 관계를 알 수 없더라도 다른 정보와 쉽게 결합하여 알 수 있다면 유족의 개인정보에 해당할 수 있습니다."
q7,정의,§2,19,직급별 전체 직원의 급여 총액이 개인정보에 해당하나요?,"#### 직급별 전체 직원의 급여 총액이 개인정보에 해당하나요? 

아니요, 자연인이 아닌 법인이나 단체에 관한 정보, 개인이 특정되지 않은 통계자료는 원칙적으로 개인정보에 해당하지 않습니다. 

- 일반적으로 특정 직급 전체 인원의 급여 총액은 자연인이 아닌 법인이나 단체에 관한 정보 내지는 개인이 특정되지 않은 통계 정보로서 개인정보에 해당하지 않습니다. 

- 다만, 예외적으로 특정 직급의 전체 인원이 1명인 경우 등에는 특정 개인의 급여를 쉽게 알 수 있으므로 개인정보에 해당할 수 있습니다. 

- ※ 개인정보란 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아 볼 수 있는 정보이며, 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합 하여 알아볼 수 있는 경우도 포함됩니다(보호법 제2조 제1호)."
q8,정의,§2,20,탑승객의 지하철 이용 정보가 개인정보에 해당하나요?,"#### 탑승객의 지하철 이용 정보가 개인정보에 해당하나요? 

지하철 이용 정보 그 자체만으로는 개인정보에 해당하지 않을 수 있으나, 다른 정보와 쉽게 결합하여 특정 개인을 알아볼 수 있다면 개인정보에 해당할 수 있습니다. 

- 승하차역, 이용일, 이용시각 정보만으로는 특정 개인을 알아볼 수 없더라도 탑승권 정보 등 다른 정보와 쉽게 결합하여 특정 탑승객을 알아볼 수 있다면 해당 정보는 개인정보에 해당합니다. 

- ※ 홍길동이 2021년 7월 1일 08시 30분 충무로역에서 전철을 갈아탐 : 개인정보 2021년 7월 1일 08시 30분 충무로역의 환승인원은 약 500여 명임 : 개인정보 아님 

- ※ 개인정보란 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아 볼 수 있는 정보이며, 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합 하여 알아볼 수 있는 경우도 포함됩니다(보호법 제2조 제1호)."
q9,정의,§2,21,회사건물 출입 기록이 개인정보에 해당하나요?,"#### 회사건물 출입 기록이 개인정보에 해당하나요? 

회사건물의 출입 기록 정보만으로는 특정 개인을 알아볼 수 없더라도 출입자 정보 등 다른 정보와 쉽게 결합하여 특정 개인을 알아볼 수 있다면 개인정보에 해당할 수 있습니다. 

- 회사건물 출입 기록은 출입 시각만 관리되기보다는 출입자 정보와 함께 관리되는 것이 일반적인데, 이와 같이 출입자 정보 등 다른 정보와 쉽게 결합하여 특정 개인을 알아 볼 수 있다면 회사건물 출입 기록 정보는 개인정보에 해당합니다. 

- ※ “입(入) 09:00, 출(出) 18:00” : 개인정보 아님 

   - “홍길동(총무부), 입(入) 09:00, 출(出) 18:00” : 개인정보 

- ※ 개인정보란 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아 볼 수 있는 정보이며, 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합 하여 알아볼 수 있는 경우도 포함됩니다(보호법 제2조 제1호)."
q10,정의,§2,22,사업체 주소와 전화번호가 개인정보에 해당하나요?,"#### 사업체 주소와 전화번호가 개인정보에 해당하나요? 

###### 법인 또는 단체에 관한 정보는 원칙적으로 개인정보에 해당하지 않습니다. 

- 개인정보의 주체는 살아있는 ‘자연인’이어야 하며, 살아있는 개인이 아닌 ‘법인 또는 단체’에 관한 정보는 원칙적으로 개인정보에 해당하지 않습니다. 따라서, 법인 또는 단체(개인사업자 포함)의 상호명, 소재지 주소, 업무 연락처 등은 원칙적으로 보호법의 적용을 받지 않습니다. 

- 다만, 법인 또는 단체에 관한 정보이면서 동시에 개인에 관한 정보인 대표·임직원의 이름, 연락처 등은 개별 상황에 따라 개인정보로 취급될 수 있습니다. 

- ※ 개인정보란 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아 볼 수 있는 정보이며, 해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합 하여 알아볼 수 있는 경우도 포함됩니다(보호법 제2조 제1호)."
