날짜,요일,지점,카테고리,상품,수량,매출
2024-09-01,일,신촌점,커피,콜드브루,3,21448
2024-09-01,일,신촌점,커피,콜드브루,3,21588
2024-09-01,일,신촌점,커피,아메리카노,3,20011
2024-09-01,일,신촌점,티,밀크티,3,23367
2024-09-01,일,신촌점,디저트,스콘,2,21259
2024-09-01,일,신촌점,디저트,스콘,1,9375
2024-09-01,일,신촌점,디저트,치즈케이크,3,28065
2024-09-01,일,신촌점,베이커리,크루아상,5,32229
2024-09-01,일,신촌점,베이커리,식빵,4,25153
2024-09-01,일,신촌점,베이커리,식빵,2,11004
2024-09-01,일,합정점,커피,아메리카노,5,30425
2024-09-01,일,합정점,커피,아메리카노,2,12694
2024-09-01,일,합정점,티,얼그레이,5,34923
2024-09-01,일,합정점,티,캐모마일,1,6751
2024-09-01,일,합정점,디저트,마카롱,3,26916
2024-09-01,일,합정점,디저트,치즈케이크,2,17575
2024-09-01,일,합정점,베이커리,크루아상,3,17006
2024-09-01,일,잠실점,커피,콜드브루,4,22353
2024-09-01,일,잠실점,티,밀크티,3,17432
2024-09-01,일,잠실점,티,캐모마일,5,31054
2024-09-01,일,잠실점,티,밀크티,1,6031
2024-09-01,일,잠실점,디저트,마카롱,5,36191
2024-09-01,일,잠실점,디저트,치즈케이크,2,16469
2024-09-01,일,잠실점,베이커리,크루아상,4,17428
2024-09-01,일,잠실점,베이커리,베이글,2,10438
2024-09-02,월,신촌점,커피,콜드브루,2,11378
2024-09-02,월,신촌점,커피,아메리카노,5,29196
2024-09-02,월,신촌점,티,얼그레이,1,6036
2024-09-02,월,신촌점,디저트,마카롱,4,30268
2024-09-02,월,신촌점,디저트,마카롱,2,13917
2024-09-02,월,신촌점,디저트,치즈케이크,5,34638
2024-09-02,월,신촌점,베이커리,베이글,2,9765
2024-09-02,월,합정점,커피,콜드브루,5,21913
2024-09-02,월,합정점,티,얼그레이,5,26486
2024-09-02,월,합정점,티,얼그레이,1,5011
2024-09-02,월,합정점,티,캐모마일,1,5807
2024-09-02,월,합정점,디저트,마카롱,4,26262
2024-09-02,월,합정점,디저트,마카롱,2,13293
2024-09-02,월,합정점,베이커리,식빵,1,4231
2024-09-02,월,합정점,베이커리,크루아상,3,11242
2024-09-02,월,잠실점,커피,아메리카노,3,12939
2024-09-02,월,잠실점,티,밀크티,1,4809
2024-09-02,월,잠실점,티,캐모마일,4,19000
2024-09-02,월,잠실점,티,캐모마일,3,13939
2024-09-02,월,잠실점,디저트,마카롱,4,22610
2024-09-02,월,잠실점,베이커리,식빵,1,3461
2024-09-02,월,잠실점,베이커리,크루아상,1,3729
2024-09-02,월,잠실점,베이커리,식빵,5,18026
2024-09-03,화,신촌점,커피,카페라떼,5,29526
2024-09-03,화,신촌점,티,캐모마일,2,12012
2024-09-03,화,신촌점,티,밀크티,4,24081
2024-09-03,화,신촌점,티,얼그레이,3,17240
2024-09-03,화,신촌점,디저트,스콘,5,40518
2024-09-03,화,신촌점,디저트,마카롱,2,14426
2024-09-03,화,신촌점,베이커리,베이글,2,9782
2024-09-03,화,신촌점,베이커리,베이글,5,25368
2024-09-03,화,합정점,커피,아메리카노,5,24029
2024-09-03,화,합정점,티,밀크티,4,23436
2024-09-03,화,합정점,티,밀크티,3,17725
2024-09-03,화,합정점,디저트,마카롱,3,20887
2024-09-03,화,합정점,디저트,스콘,1,6314
2024-09-03,화,합정점,베이커리,크루아상,3,12420
2024-09-03,화,잠실점,커피,콜드브루,4,17461
2024-09-03,화,잠실점,티,캐모마일,4,19467
2024-09-03,화,잠실점,디저트,마카롱,1,5472
2024-09-03,화,잠실점,베이커리,베이글,2,7379
2024-09-03,화,잠실점,베이커리,크루아상,3,10698
2024-09-04,수,신촌점,커피,카페라떼,3,17280
2024-09-04,수,신촌점,커피,아메리카노,1,5595
2024-09-04,수,신촌점,커피,카페라떼,1,5847
2024-09-04,수,신촌점,티,밀크티,5,29874
2024-09-04,수,신촌점,티,밀크티,2,11714
2024-09-04,수,신촌점,디저트,마카롱,4,28022
2024-09-04,수,신촌점,디저트,치즈케이크,3,22046
2024-09-04,수,신촌점,베이커리,크루아상,3,15228
2024-09-04,수,신촌점,베이커리,식빵,3,13636
2024-09-04,수,신촌점,베이커리,식빵,4,18892
2024-09-04,수,합정점,커피,콜드브루,1,4415
2024-09-04,수,합정점,커피,콜드브루,4,20769
2024-09-04,수,합정점,커피,카페라떼,1,4631
2024-09-04,수,합정점,티,밀크티,1,5731
2024-09-04,수,합정점,티,얼그레이,5,28381
2024-09-04,수,합정점,디저트,스콘,2,13122
2024-09-04,수,합정점,디저트,스콘,1,6697
2024-09-04,수,합정점,베이커리,베이글,4,15225
2024-09-04,수,잠실점,커피,콜드브루,5,19836
2024-09-04,수,잠실점,커피,아메리카노,3,11827
2024-09-04,수,잠실점,티,얼그레이,2,9722
2024-09-04,수,잠실점,티,밀크티,2,10862
2024-09-04,수,잠실점,디저트,치즈케이크,1,6440
2024-09-04,수,잠실점,디저트,스콘,1,5715
2024-09-04,수,잠실점,디저트,스콘,5,32214
2024-09-04,수,잠실점,베이커리,베이글,5,18297
2024-09-04,수,잠실점,베이커리,크루아상,3,10299
2024-09-05,목,신촌점,커피,아메리카노,3,15631
2024-09-05,목,신촌점,티,밀크티,4,23174
2024-09-05,목,신촌점,티,밀크티,1,6440
2024-09-05,목,신촌점,디저트,마카롱,5,40872
2024-09-05,목,신촌점,디저트,마카롱,1,6879
2024-09-05,목,신촌점,디저트,치즈케이크,5,40368
2024-09-05,목,신촌점,베이커리,크루아상,4,18657
2024-09-05,목,신촌점,베이커리,크루아상,3,13813
2024-09-05,목,신촌점,베이커리,베이글,3,13183
2024-09-05,목,합정점,커피,콜드브루,1,4566
2024-09-05,목,합정점,커피,아메리카노,5,24396
2024-09-05,목,합정점,커피,콜드브루,2,8920
2024-09-05,목,합정점,티,캐모마일,3,16827
2024-09-05,목,합정점,디저트,마카롱,4,25216
2024-09-05,목,합정점,베이커리,식빵,4,16569
2024-09-05,목,잠실점,커피,콜드브루,5,19802
2024-09-05,목,잠실점,커피,콜드브루,2,8591
2024-09-05,목,잠실점,티,밀크티,3,15828
2024-09-05,목,잠실점,디저트,마카롱,2,12266
2024-09-05,목,잠실점,베이커리,식빵,5,17085
2024-09-05,목,잠실점,베이커리,크루아상,5,18482
2024-09-06,금,신촌점,커피,콜드브루,3,16416
2024-09-06,금,신촌점,커피,콜드브루,4,21268
2024-09-06,금,신촌점,티,밀크티,1,6835
2024-09-06,금,신촌점,티,밀크티,4,26952
2024-09-06,금,신촌점,디저트,스콘,3,22395
2024-09-06,금,신촌점,디저트,치즈케이크,3,21996
2024-09-06,금,신촌점,디저트,마카롱,1,8131
2024-09-06,금,신촌점,베이커리,베이글,1,4884
2024-09-06,금,합정점,커피,아메리카노,4,19450
2024-09-06,금,합정점,티,밀크티,1,5556
2024-09-06,금,합정점,티,밀크티,3,15712
2024-09-06,금,합정점,디저트,치즈케이크,2,13662
2024-09-06,금,합정점,베이커리,크루아상,2,7690
2024-09-06,금,잠실점,커피,아메리카노,1,3890
