날짜,요일,지점,카테고리,상품,수량,매출
2024-06-01,토,강남,음료,탄산음료,3,8069
2024-06-01,토,강남,스낵,초코바,1,3506
2024-06-01,토,강남,스낵,젤리,7,23081
2024-06-01,토,강남,즉석식품,삼각김밥,5,33750
2024-06-01,토,강남,즉석식품,샌드위치,7,47202
2024-06-01,토,강남,즉석식품,삼각김밥,4,23409
2024-06-01,토,강남,생활용품,우산,6,27894
2024-06-01,토,강남,생활용품,우산,2,7944
2024-06-01,토,강남,생활용품,칫솔,7,29235
2024-06-01,토,홍대,음료,생수,1,2187
2024-06-01,토,홍대,음료,이온음료,7,14469
2024-06-01,토,홍대,음료,아메리카노,6,14407
2024-06-01,토,홍대,스낵,견과류,5,14538
2024-06-01,토,홍대,스낵,감자칩,2,6444
2024-06-01,토,홍대,즉석식품,삼각김밥,2,11277
2024-06-01,토,홍대,생활용품,건전지,4,14903
2024-06-01,토,홍대,생활용품,우산,2,6955
2024-06-01,토,홍대,생활용품,칫솔,5,18005
2024-06-01,토,판교,음료,아메리카노,2,4560
2024-06-01,토,판교,스낵,감자칩,5,13824
2024-06-01,토,판교,즉석식품,도시락,1,4765
2024-06-01,토,판교,즉석식품,샌드위치,5,21890
2024-06-01,토,판교,즉석식품,컵라면,1,5856
2024-06-01,토,판교,생활용품,건전지,5,15315
2024-06-01,토,판교,생활용품,칫솔,5,16584
2024-06-01,토,성수,음료,탄산음료,2,3110
2024-06-01,토,성수,스낵,젤리,1,2312
2024-06-01,토,성수,즉석식품,샌드위치,5,24208
2024-06-01,토,성수,즉석식품,컵라면,6,24997
2024-06-01,토,성수,즉석식품,삼각김밥,1,4793
2024-06-01,토,성수,생활용품,우산,6,19376
2024-06-01,토,성수,생활용품,칫솔,2,5708
2024-06-02,일,강남,음료,생수,4,10908
2024-06-02,일,강남,음료,생수,4,11043
2024-06-02,일,강남,스낵,견과류,1,3665
2024-06-02,일,강남,스낵,젤리,1,3005
2024-06-02,일,강남,스낵,견과류,5,15972
2024-06-02,일,강남,즉석식품,샌드위치,3,20042
2024-06-02,일,강남,즉석식품,컵라면,5,36028
2024-06-02,일,강남,생활용품,건전지,6,22599
2024-06-02,일,강남,생활용품,우산,7,30074
2024-06-02,일,홍대,음료,생수,2,5013
2024-06-02,일,홍대,음료,탄산음료,5,11865
2024-06-02,일,홍대,스낵,젤리,1,2769
2024-06-02,일,홍대,스낵,젤리,6,20484
2024-06-02,일,홍대,스낵,초코바,2,6403
2024-06-02,일,홍대,즉석식품,삼각김밥,1,5399
2024-06-02,일,홍대,즉석식품,컵라면,1,5093
2024-06-02,일,홍대,즉석식품,삼각김밥,2,11190
2024-06-02,일,홍대,생활용품,우산,5,18421
2024-06-02,일,홍대,생활용품,건전지,5,18577
2024-06-02,일,판교,음료,탄산음료,6,12474
2024-06-02,일,판교,스낵,젤리,5,11704
2024-06-02,일,판교,즉석식품,샌드위치,6,34935
2024-06-02,일,판교,생활용품,건전지,2,6860
2024-06-02,일,판교,생활용품,칫솔,7,27839
2024-06-02,일,성수,음료,이온음료,4,7819
2024-06-02,일,성수,음료,생수,4,7362
2024-06-02,일,성수,스낵,견과류,5,13717
