수강생id,카테고리,수강료,수강시간_분,완료율,만족도,재수강여부,가입경로
U0001,데이터분석,79000,263,57.4,3.7,0,광고
U0002,파이썬,79000,413,67.1,5.0,0,지인
U0003,파이썬,49000,479,63.3,4.2,0,지인
U0004,AI머신러닝,79000,226,58.4,4.0,1,검색
U0005,데이터분석,79000,443,73.3,3.5,0,광고
U0006,디자인,79000,455,67.8,4.4,1,추천
U0007,웹개발,79000,304,73.1,3.9,1,광고
U0008,웹개발,99000,512,100.0,4.2,1,검색
U0009,파이썬,99000,534,98.8,5.0,1,검색
U0010,AI머신러닝,49000,173,48.7,4.3,0,추천
U0011,AI머신러닝,79000,294,61.4,4.9,1,광고
U0012,파이썬,49000,335,65.5,4.1,0,지인
U0013,데이터분석,49000,343,67.5,3.3,0,광고
U0014,데이터분석,79000,458,76.1,4.0,0,광고
U0015,파이썬,129000,268,58.9,5.0,0,추천
U0016,웹개발,99000,416,77.9,4.8,0,검색
U0017,데이터분석,79000,493,81.4,5.0,1,광고
U0018,파이썬,79000,270,55.6,4.7,0,검색
U0019,데이터분석,129000,286,74.7,4.2,1,지인
U0020,디자인,49000,245,59.8,4.3,1,추천
U0021,데이터분석,129000,162,69.8,3.3,0,광고
U0022,파이썬,49000,102,45.5,4.2,0,광고
U0023,파이썬,129000,507,96.1,4.0,1,검색
U0024,데이터분석,49000,323,65.2,4.2,0,검색
U0025,AI머신러닝,99000,243,32.7,3.6,0,추천
U0026,데이터분석,79000,349,59.7,4.7,0,추천
U0027,웹개발,129000,660,92.3,3.4,1,검색
U0028,AI머신러닝,99000,429,47.2,3.5,0,추천
U0029,웹개발,49000,652,70.7,5.0,0,검색
U0030,AI머신러닝,49000,190,45.1,2.1,0,검색
U0031,AI머신러닝,79000,492,40.0,3.4,0,검색
U0032,데이터분석,99000,683,80.8,3.5,1,검색
U0033,파이썬,129000,174,88.4,4.7,1,검색
U0034,AI머신러닝,129000,435,52.2,3.5,0,검색
U0035,웹개발,129000,240,64.4,3.8,1,검색
U0036,웹개발,49000,614,77.9,3.5,1,광고
U0037,데이터분석,99000,758,80.1,3.3,0,검색
U0038,파이썬,79000,341,53.8,4.2,0,광고
U0039,파이썬,129000,234,57.4,4.3,1,검색
U0040,AI머신러닝,49000,342,53.9,3.9,0,검색
U0041,AI머신러닝,49000,281,59.8,3.6,0,검색
U0042,파이썬,49000,792,82.1,3.6,0,추천
U0043,디자인,49000,702,74.1,3.9,0,검색
U0044,AI머신러닝,99000,339,57.0,4.5,0,광고
U0045,웹개발,79000,581,82.0,4.1,0,광고
U0046,디자인,49000,464,72.1,4.2,1,검색
U0047,AI머신러닝,99000,136,55.5,3.0,1,광고
U0048,데이터분석,49000,158,45.2,3.2,0,추천
U0049,파이썬,79000,633,56.9,4.3,0,검색
U0050,AI머신러닝,79000,453,68.6,2.7,1,지인
U0051,AI머신러닝,79000,381,61.7,4.3,0,광고
U0052,디자인,99000,275,54.8,3.6,0,추천
U0053,디자인,129000,184,50.4,4.5,0,광고
U0054,데이터분석,99000,304,75.7,4.6,0,검색
U0055,웹개발,49000,431,62.8,4.1,1,검색
U0056,디자인,99000,358,58.8,3.8,1,검색
U0057,데이터분석,49000,435,64.7,3.5,1,광고
U0058,AI머신러닝,49000,443,59.8,4.0,0,검색
U0059,AI머신러닝,129000,492,61.0,4.4,0,광고
U0060,데이터분석,79000,333,43.6,4.3,0,광고
U0061,데이터분석,79000,363,53.6,3.9,1,광고
U0062,파이썬,79000,234,44.5,4.0,0,검색
U0063,파이썬,99000,50,68.3,5.0,1,지인
U0064,데이터분석,49000,26,81.2,3.8,1,지인
U0065,AI머신러닝,129000,219,41.3,3.7,0,검색
U0066,AI머신러닝,79000,477,56.1,4.5,0,추천
U0067,웹개발,129000,686,61.8,4.3,1,지인
U0068,데이터분석,129000,161,44.0,4.1,1,검색
U0069,데이터분석,79000,560,73.6,3.9,1,광고
U0070,데이터분석,129000,317,50.4,3.9,0,검색
U0071,파이썬,79000,295,79.2,4.1,1,검색
U0072,디자인,49000,20,62.7,4.2,0,지인
U0073,데이터분석,49000,449,65.0,4.0,0,광고
U0074,AI머신러닝,99000,332,60.3,3.5,0,광고
U0075,AI머신러닝,79000,137,37.2,3.2,0,검색
U0076,웹개발,99000,379,68.2,3.7,1,검색
U0077,웹개발,99000,586,79.4,4.1,0,검색
U0078,디자인,99000,612,65.2,3.7,1,추천
U0079,데이터분석,79000,296,39.8,4.8,0,추천
U0080,AI머신러닝,79000,242,35.4,3.7,0,검색
U0081,데이터분석,49000,306,59.7,5.0,0,광고
U0082,데이터분석,129000,106,63.6,3.6,0,광고
U0083,웹개발,99000,424,44.8,4.7,0,검색
U0084,웹개발,129000,614,75.5,4.7,1,추천
U0085,웹개발,129000,404,62.9,5.0,1,검색
U0086,파이썬,79000,707,71.2,3.7,1,지인
U0087,디자인,99000,200,52.5,3.3,1,추천
U0088,AI머신러닝,49000,368,70.5,3.8,0,추천
U0089,데이터분석,99000,181,29.3,4.4,1,검색
U0090,디자인,129000,257,42.8,3.6,0,광고
U0091,파이썬,49000,306,53.0,5.0,0,지인
U0092,데이터분석,99000,451,76.4,3.1,0,검색
U0093,파이썬,79000,298,72.2,4.2,0,광고
U0094,데이터분석,79000,347,59.0,3.9,0,검색
U0095,웹개발,99000,257,51.0,3.4,0,추천
U0096,파이썬,129000,431,74.0,4.4,0,추천
U0097,웹개발,79000,352,84.2,4.0,1,검색
