회원id,나이,성별,회원권,월방문횟수,PT여부,만족도,재등록여부,월회비
M0001,25,여,1개월,15,1,4.2,1,70000
M0002,39,여,1개월,9,0,4.1,1,70000
M0003,31,여,1개월,5,0,2.9,1,70000
M0004,38,여,1개월,5,0,2.7,1,70000
M0005,39,남,1개월,9,0,4.5,1,70000
M0006,22,남,1개월,9,0,4.4,1,70000
M0007,18,남,12개월,13,0,3.9,0,45000
M0008,19,남,3개월,14,0,2.7,1,60000
M0009,50,여,6개월,15,0,3.8,1,52000
M0010,30,남,3개월,4,0,3.9,0,60000
M0011,34,남,1개월,6,0,3.0,0,70000
M0012,31,여,3개월,12,0,3.4,0,60000
M0013,39,남,3개월,13,0,3.2,1,60000
M0014,29,여,3개월,17,0,3.6,1,60000
M0015,36,남,6개월,8,0,3.6,0,52000
M0016,47,여,1개월,19,1,3.6,1,70000
M0017,40,남,1개월,15,1,4.8,0,70000
M0018,55,남,1개월,13,0,4.4,0,70000
M0019,55,남,12개월,17,1,4.3,1,45000
M0020,28,여,3개월,10,1,4.3,0,60000
M0021,53,남,6개월,7,0,3.9,0,52000
M0022,24,여,3개월,19,1,4.8,1,60000
M0023,56,여,12개월,16,1,4.1,1,45000
M0024,35,여,6개월,6,0,4.2,0,52000
M0025,41,남,6개월,19,1,4.4,1,52000
M0026,32,여,3개월,14,1,4.4,1,60000
M0027,29,남,12개월,7,0,3.0,1,45000
M0028,36,남,3개월,9,0,4.6,1,60000
M0029,44,여,1개월,13,1,4.7,0,70000
M0030,39,여,6개월,13,0,4.3,1,52000
M0031,20,남,3개월,21,1,4.3,1,60000
M0032,36,남,12개월,16,0,3.6,0,45000
M0033,30,여,12개월,20,1,4.0,1,45000
M0034,33,여,3개월,14,1,5.0,0,60000
M0035,35,남,3개월,4,0,2.9,0,60000
M0036,26,남,12개월,21,1,3.1,0,45000
M0037,39,여,1개월,4,0,3.7,0,70000
M0038,34,여,3개월,1,0,3.3,0,60000
M0039,40,남,12개월,12,0,3.4,1,45000
M0040,23,남,6개월,16,1,4.4,1,52000
M0041,34,남,3개월,9,0,4.6,1,60000
M0042,40,여,6개월,9,0,3.1,1,52000
M0043,24,남,3개월,19,1,3.2,1,60000
M0044,40,여,3개월,17,0,4.5,1,60000
M0045,22,여,3개월,9,0,3.9,1,60000
M0046,37,여,1개월,10,0,4.1,1,70000
M0047,27,남,3개월,16,0,4.3,0,60000
M0048,23,여,1개월,17,0,3.8,1,70000
M0049,56,남,12개월,10,0,3.0,0,45000
M0050,31,여,12개월,16,0,4.2,1,45000
M0051,27,여,1개월,11,0,4.2,1,70000
M0052,36,남,3개월,7,0,3.6,0,60000
M0053,35,남,3개월,8,0,3.5,1,60000
M0054,39,남,3개월,10,0,2.9,0,60000
M0055,18,남,6개월,21,1,3.1,1,52000
M0056,39,여,3개월,16,0,4.4,0,60000
M0057,18,남,6개월,15,1,4.4,1,52000
M0058,32,여,6개월,21,1,5.0,0,52000
M0059,43,남,1개월,14,1,4.5,1,70000
M0060,22,여,1개월,12,1,4.5,1,70000
M0061,33,여,1개월,9,1,4.6,0,70000
M0062,24,여,1개월,7,1,3.7,0,70000
M0063,42,남,3개월,15,1,2.9,0,60000
M0064,30,남,1개월,10,0,3.2,0,70000
M0065,35,남,1개월,10,1,4.8,0,70000
M0066,33,여,3개월,11,0,3.6,1,60000
M0067,24,여,3개월,17,0,4.2,0,60000
M0068,35,여,6개월,22,1,5.0,0,52000
M0069,37,여,12개월,17,0,3.1,1,45000
M0070,49,남,6개월,18,1,4.2,1,52000
M0071,38,남,12개월,16,0,2.7,0,45000
M0072,39,남,3개월,14,1,5.0,1,60000
M0073,27,남,1개월,15,1,3.8,1,70000
M0074,34,남,3개월,15,0,3.6,0,60000
M0075,44,남,1개월,16,1,3.7,1,70000
M0076,35,여,1개월,15,1,4.3,1,70000
M0077,30,여,1개월,17,1,4.6,1,70000
M0078,42,여,1개월,14,0,3.4,1,70000
M0079,21,여,3개월,15,1,4.9,1,60000
M0080,18,여,1개월,17,1,3.7,1,70000
M0081,27,여,1개월,9,0,3.2,0,70000
M0082,36,남,3개월,15,0,3.5,1,60000
M0083,53,남,1개월,9,0,4.1,0,70000
M0084,27,여,3개월,20,1,4.5,1,60000
M0085,40,남,3개월,20,1,4.5,0,60000
M0086,33,남,6개월,13,0,3.1,0,52000
M0087,39,여,3개월,7,0,4.1,0,60000
M0088,38,여,3개월,14,1,4.5,1,60000
M0089,34,여,1개월,12,0,3.7,1,70000
M0090,39,남,12개월,22,0,4.3,1,45000
M0091,31,남,6개월,15,1,4.7,1,52000
M0092,36,여,6개월,16,0,4.7,0,52000
M0093,26,여,3개월,12,0,4.5,1,60000
M0094,25,남,3개월,16,0,4.6,1,60000
M0095,24,남,1개월,6,0,3.9,1,70000
M0096,39,여,3개월,10,0,3.9,1,60000
M0097,46,남,6개월,12,1,3.8,1,52000
M0098,18,남,12개월,24,0,3.3,0,45000
M0099,51,여,1개월,0,0,3.7,0,70000
M0100,38,남,3개월,0,0,3.8,0,60000
M0101,44,남,1개월,5,0,3.3,0,70000
M0102,35,여,3개월,13,1,4.5,0,60000
M0103,42,남,12개월,11,0,3.1,1,45000
M0104,27,여,6개월,8,0,3.2,0,52000
M0105,30,여,3개월,2,0,3.5,0,60000
M0106,33,남,12개월,9,0,4.1,1,45000
M0107,30,여,1개월,10,0,2.9,0,70000
M0108,23,남,1개월,6,0,2.7,1,70000
M0109,46,남,1개월,16,1,3.9,1,70000
M0110,20,남,6개월,17,1,5.0,1,52000
M0111,35,여,1개월,7,0,4.3,0,70000
M0112,25,남,12개월,18,0,3.6,1,45000
M0113,19,여,1개월,6,0,4.0,0,70000
M0114,31,여,1개월,12,0,3.8,1,70000
M0115,55,남,12개월,15,0,3.9,1,45000
M0116,37,여,3개월,8,0,3.6,1,60000
M0117,34,남,1개월,12,0,3.9,0,70000
M0118,38,남,3개월,7,0,3.0,1,60000
M0119,42,여,6개월,14,0,3.6,1,52000
M0120,29,여,1개월,10,1,4.9,0,70000
M0121,49,여,6개월,15,0,3.8,0,52000
M0122,52,여,3개월,13,0,5.0,0,60000
M0123,39,여,1개월,15,1,2.8,0,70000
M0124,52,여,3개월,11,0,3.5,1,60000
M0125,60,여,1개월,1,0,3.5,0,70000
M0126,45,여,1개월,3,0,3.0,0,70000
M0127,18,남,1개월,13,1,3.4,0,70000
M0128,41,여,12개월,17,1,4.5,1,45000
M0129,28,남,3개월,0,0,3.5,0,60000
M0130,29,남,6개월,19,0,3.3,1,52000
M0131,43,여,12개월,13,0,3.0,1,45000
M0132,34,남,1개월,12,1,4.5,1,70000
M0133,22,남,6개월,26,1,4.1,1,52000
M0134,43,여,3개월,16,0,4.1,1,60000
M0135,35,남,12개월,15,0,3.5,0,45000
M0136,20,여,1개월,10,0,3.0,1,70000
M0137,32,남,1개월,5,0,3.7,1,70000
M0138,37,남,3개월,5,0,3.7,0,60000
M0139,39,여,1개월,11,0,3.9,1,70000
M0140,40,남,6개월,17,0,4.4,0,52000
M0141,42,남,3개월,13,0,4.7,0,60000
M0142,26,여,1개월,0,0,4.0,0,70000
M0143,38,남,1개월,11,0,3.7,0,70000
M0144,59,남,1개월,11,0,3.5,1,70000
M0145,37,여,3개월,6,1,3.4,0,60000
M0146,26,여,1개월,13,0,3.7,0,70000
M0147,36,여,3개월,17,0,3.8,1,60000
M0148,30,남,1개월,10,1,4.4,1,70000
M0149,36,여,12개월,16,0,4.1,0,45000
M0150,36,여,12개월,12,1,5.0,1,45000
M0151,33,남,1개월,8,0,3.9,1,70000
M0152,18,남,3개월,15,1,5.0,0,60000
M0153,51,여,1개월,6,0,3.8,1,70000
M0154,23,여,6개월,18,1,4.0,1,52000
M0155,28,남,3개월,8,0,3.0,0,60000
M0156,23,남,12개월,13,0,3.9,1,45000
M0157,34,여,6개월,20,1,3.6,1,52000
M0158,43,여,6개월,9,0,3.9,0,52000
M0159,39,남,1개월,16,0,4.5,1,70000
M0160,37,남,6개월,9,0,4.4,0,52000
