pickup,dropoff,passengers,distance,fare,tip,total,payment,pickup_borough,dropoff_borough
2019-03-23 20:21:09,2019-03-23 20:27:24,1,1.6,7.0,2.15,12.95,credit card,Manhattan,Manhattan
2019-03-04 16:11:55,2019-03-04 16:19:00,1,0.79,5.0,0.0,9.3,cash,Manhattan,Manhattan
2019-03-27 17:53:01,2019-03-27 18:00:25,1,1.37,7.5,2.36,14.16,credit card,Manhattan,Manhattan
2019-03-10 01:23:59,2019-03-10 01:49:51,1,7.7,27.0,6.15,36.95,credit card,Manhattan,Manhattan
2019-03-30 13:27:42,2019-03-30 13:37:14,3,2.16,9.0,1.1,13.4,credit card,Manhattan,Manhattan
2019-03-11 10:37:23,2019-03-11 10:47:31,1,0.49,7.5,2.16,12.96,credit card,Manhattan,Manhattan
2019-03-26 21:07:31,2019-03-26 21:17:29,1,3.65,13.0,2.0,18.8,credit card,Manhattan,Manhattan
2019-03-22 12:47:13,2019-03-22 12:58:17,0,1.4,8.5,0.0,11.8,,Manhattan,Manhattan
2019-03-23 11:48:50,2019-03-23 12:06:14,1,3.63,15.0,1.0,19.3,credit card,Manhattan,Manhattan
2019-03-08 16:18:37,2019-03-08 16:26:57,1,1.52,8.0,1.0,13.3,credit card,Manhattan,Manhattan
2019-03-16 10:02:25,2019-03-16 10:22:29,1,3.9,17.0,0.0,17.8,cash,Queens,Queens
2019-03-20 19:39:42,2019-03-20 19:45:36,1,1.53,6.5,2.16,12.96,credit card,Manhattan,Manhattan
2019-03-18 21:27:14,2019-03-18 21:34:16,1,1.05,6.5,1.0,11.3,credit card,Manhattan,Manhattan
2019-03-19 07:55:25,2019-03-19 08:09:17,1,1.75,10.5,0.0,13.8,cash,Manhattan,Manhattan
2019-03-27 12:13:34,2019-03-27 12:25:48,0,2.9,11.5,0.0,14.8,cash,Manhattan,Manhattan
2019-03-16 17:53:34,2019-03-16 18:13:57,3,2.09,13.5,0.0,16.8,cash,Manhattan,Manhattan
2019-03-15 12:36:05,2019-03-15 12:54:28,1,2.12,13.0,0.0,16.3,cash,Manhattan,Manhattan
2019-03-23 20:50:49,2019-03-23 21:02:07,1,2.6,10.5,2.0,16.3,credit card,Manhattan,Manhattan
2019-03-27 06:28:36,2019-03-27 06:38:10,1,2.18,9.5,1.92,14.72,credit card,Manhattan,Manhattan
2019-03-25 22:04:25,2019-03-25 22:11:30,6,1.08,6.5,1.08,11.38,credit card,Manhattan,Manhattan
2019-03-21 03:37:34,2019-03-21 03:44:13,1,1.07,6.5,1.54,11.84,credit card,Manhattan,Manhattan
2019-03-25 23:05:54,2019-03-25 23:11:13,1,0.8,5.5,2.3,11.6,credit card,Manhattan,Manhattan
2019-03-28 17:20:54,2019-03-28 17:55:57,1,9.82,31.5,8.31,49.87,credit card,Queens,Manhattan
2019-03-04 12:15:39,2019-03-04 12:26:53,5,1.09,8.5,2.36,14.16,credit card,Manhattan,Manhattan
2019-03-24 09:53:28,2019-03-24 10:01:22,5,2.89,9.5,3.84,16.64,credit card,Manhattan,Manhattan
2019-03-25 08:01:01,2019-03-25 08:13:27,1,1.9,10.0,3.0,16.3,credit card,Manhattan,Manhattan
2019-03-03 02:45:36,2019-03-03 03:02:14,1,3.35,13.5,0.0,17.3,cash,Manhattan,Manhattan
2019-03-16 20:30:36,2019-03-16 20:46:22,1,2.6,12.5,3.26,19.56,credit card,Manhattan,Manhattan
2019-03-20 12:25:31,2019-03-20 12:45:02,1,4.71,17.5,0.0,18.3,credit card,Manhattan,Manhattan
2019-03-06 08:09:03,2019-03-06 08:27:11,1,0.92,12.0,0.0,15.3,cash,Manhattan,Manhattan
2019-03-10 15:14:20,2019-03-10 15:20:17,1,1.84,7.0,2.06,12.36,credit card,Manhattan,Manhattan
2019-03-01 02:55:55,2019-03-01 02:57:59,3,0.74,4.0,0.0,7.8,cash,Manhattan,Manhattan
2019-03-17 19:24:50,2019-03-17 19:29:58,1,0.62,5.5,1.0,9.8,credit card,Manhattan,Manhattan
2019-03-20 22:29:32,2019-03-20 22:32:24,2,0.65,4.5,2.49,10.79,credit card,Manhattan,Manhattan
2019-03-21 10:48:02,2019-03-21 10:57:45,2,0.87,7.5,2.16,12.96,credit card,Manhattan,Manhattan
2019-03-01 17:39:58,2019-03-01 18:04:46,1,3.06,17.0,4.26,25.56,credit card,Manhattan,Manhattan
2019-03-22 17:28:51,2019-03-22 17:33:51,1,1.1,5.5,0.0,9.8,cash,Manhattan,Manhattan
2019-03-21 18:41:58,2019-03-21 19:15:25,1,3.13,20.5,0.0,24.8,cash,Manhattan,Manhattan
2019-03-18 16:03:14,2019-03-18 16:10:36,2,1.13,6.5,2.16,12.96,credit card,Manhattan,Manhattan
2019-03-25 22:50:56,2019-03-25 22:59:51,1,2.47,10.0,2.76,16.56,credit card,Manhattan,Manhattan
2019-03-07 15:15:46,2019-03-07 15:50:14,1,7.51,27.0,6.06,36.36,credit card,Manhattan,Brooklyn
2019-03-24 18:42:56,2019-03-24 19:09:00,0,4.5,20.0,0.0,23.3,cash,Manhattan,Manhattan
2019-03-30 23:59:14,2019-03-30 23:59:17,1,0.0,80.0,20.08,100.38,credit card,,
2019-03-27 19:39:16,2019-03-27 20:00:26,1,9.5,28.0,0.0,35.06,cash,Queens,Manhattan
2019-03-14 07:19:29,2019-03-14 07:45:51,1,9.37,29.5,1.0,33.8,credit card,Manhattan,Manhattan
2019-03-07 11:19:21,2019-03-07 11:39:09,1,0.8,12.5,3.15,18.95,credit card,Manhattan,Manhattan
2019-03-20 11:40:59,2019-03-20 12:06:41,2,4.7,20.0,0.0,23.3,cash,Manhattan,Manhattan
2019-03-13 06:17:45,2019-03-13 06:21:54,2,1.15,5.5,2.64,11.44,credit card,Manhattan,Manhattan
2019-03-07 16:49:01,2019-03-07 16:57:07,1,1.3,7.0,0.0,11.3,cash,Manhattan,Manhattan
2019-03-04 21:35:00,2019-03-04 21:53:42,1,4.87,17.5,0.0,21.3,cash,Manhattan,Manhattan
2019-03-16 16:36:34,2019-03-16 16:54:50,2,1.0,11.5,0.0,14.8,cash,Manhattan,Manhattan
2019-03-16 17:38:47,2019-03-16 17:56:04,4,1.89,12.0,0.0,15.3,cash,Manhattan,Manhattan
2019-03-21 21:30:05,2019-03-21 21:39:03,2,0.9,7.0,2.15,12.95,credit card,Manhattan,Manhattan
2019-03-20 18:49:24,2019-03-20 19:12:40,1,13.45,36.0,0.0,37.8,cash,Queens,Queens
2019-03-24 01:13:51,2019-03-24 01:24:00,1,2.8,10.5,2.85,17.15,credit card,Manhattan,Manhattan
2019-03-14 12:11:52,2019-03-14 12:40:54,1,3.43,19.0,4.46,26.76,credit card,Manhattan,Manhattan
2019-03-05 17:57:00,2019-03-05 18:45:25,2,19.59,52.0,0.0,65.56,credit card,Queens,Manhattan
2019-03-17 13:55:43,2019-03-17 14:01:39,4,0.71,5.5,1.76,10.56,credit card,Manhattan,Manhattan
2019-03-01 23:21:01,2019-03-01 23:46:28,1,4.5,18.5,4.46,26.76,credit card,Manhattan,Manhattan
2019-03-09 19:24:01,2019-03-09 19:33:32,3,0.82,7.0,2.0,12.3,credit card,Manhattan,Manhattan
2019-03-01 22:49:54,2019-03-01 22:53:32,1,0.9,5.0,0.0,6.3,credit card,Manhattan,Manhattan
2019-03-13 10:55:10,2019-03-13 11:23:25,2,2.4,17.5,0.0,20.8,cash,Manhattan,Manhattan
2019-03-21 23:33:55,2019-03-21 23:36:39,1,0.44,4.0,0.0,7.8,cash,Manhattan,Manhattan
2019-03-28 21:59:44,2019-03-28 22:04:04,4,1.02,5.5,0.0,9.3,cash,Manhattan,Manhattan
2019-03-26 10:14:55,2019-03-26 10:26:58,6,1.38,9.0,3.08,15.38,credit card,Manhattan,Manhattan
2019-03-02 19:08:25,2019-03-02 19:31:42,1,2.42,15.5,3.76,22.56,credit card,Manhattan,Manhattan
2019-03-15 13:42:03,2019-03-15 13:49:00,1,0.66,6.0,2.79,12.09,credit card,Manhattan,Manhattan
2019-03-04 13:39:06,2019-03-04 13:58:52,1,3.3,15.5,0.0,18.8,cash,Manhattan,Manhattan
2019-03-22 02:22:01,2019-03-22 02:30:21,3,1.22,7.5,0.0,11.3,cash,Manhattan,Manhattan
2019-03-31 15:43:37,2019-03-31 15:53:39,1,0.55,7.5,1.5,12.3,credit card,Manhattan,Manhattan
2019-03-27 19:27:17,2019-03-27 19:48:47,1,3.51,16.5,1.0,21.8,credit card,Manhattan,Manhattan
2019-03-13 07:34:09,2019-03-13 07:38:18,1,1.07,5.5,1.76,10.56,credit card,Manhattan,Manhattan
2019-03-12 15:44:53,2019-03-12 16:02:05,1,1.98,11.5,2.96,17.76,credit card,Manhattan,Manhattan
